,actors,awards,box_office,country,director,dvd,genre,imdb_id,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,ratings,released,response,runtime,title,total_seasons,type,website,writer,year
10,"Ethan Hawke, Laurence Fishburne, Gabriel Byrne, Maria Bello",1 win & 2 nominations.,N/A,"France, USA",Jean-François Richet,N/A,"Action, Crime, Drama, Thriller",tt0398712,6.3,"72,929","English, Serbian",54,"A police sergeant must rally the cops and prisoners together to protect themselves on New Year's Eve, just as corrupt policeman surround the station with the intent of killing all to keep their deception in the ranks.",https://m.media-amazon.com/images/M/MV5BMTk4OTM3ODU4NF5BMl5BanBnXkFtZTcwNTM0NjcyMQ@@._V1_SX300.jpg,Focus Features,R,"[{'source': 'Internet Movie Database', 'value': '6.3/10'}, {'source': 'Rotten Tomatoes', 'value': '59%'}, {'source': 'Metacritic', 'value': '54/100'}]",19 Jan 2005,True,109 min,Assault on Precinct 13,,movie,N/A,"John Carpenter (earlier film), James DeMonaco (screenplay)",2005
11,"Joshua Jackson, Steven Pasquale, Katie Griffin, Zack Ward",8 wins & 4 nominations.,N/A,"USA, Canada",James C.E. Burke,N/A,"Drama, Romance",tt0387037,6.7,"1,618",English,58,A troubled young man struggling to right himself after the premature death of his father.,https://m.media-amazon.com/images/M/MV5BMTI4OTAzMTU1N15BMl5BanBnXkFtZTcwMTU1OTgyMQ@@._V1_SX300.jpg,Entitled Entrtainment,R,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '68%'}, {'source': 'Metacritic', 'value': '58/100'}]",22 Apr 2005,True,110 min,Aurora Borealis,,movie,N/A,Brent Boyd,2005
12,"Gordon Pinsent, Stacey LaBerge, Julie Christie, Olympia Dukakis",Nominated for 2 Oscars. Another 62 wins & 39 nominations.,N/A,"Canada, UK, USA",Sarah Polley,N/A,Drama,tt0491747,7.5,"21,222",English,88,"A man coping with the institutionalization of his wife because of Alzheimer's disease faces an epiphany when she transfers her affections to another man, Aubrey, a wheelchair-bound mute who also is a patient at the nursing home.",https://m.media-amazon.com/images/M/MV5BMjExMzgyOTUyNF5BMl5BanBnXkFtZTcwNTUzMDg0MQ@@._V1_SX300.jpg,"Film Farm Productions, Foundry Films",PG-13,"[{'source': 'Internet Movie Database', 'value': '7.5/10'}, {'source': 'Rotten Tomatoes', 'value': '94%'}, {'source': 'Metacritic', 'value': '88/100'}]",25 May 2007,True,110 min,Away from Her,,movie,N/A,"Sarah Polley, Alice Munro (short story ""The Bear Came Over the Mountain"")",2006
13,"Xavier Samuel, Sharni Vinson, Adrian Pang, Yuwu Qi",N/A,N/A,"Australia, Singapore, China",Kimble Rendall,N/A,"Action, Adventure, Drama, Horror, Thriller",tt1438173,5.2,"16,076",English,N/A,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building - along with 12-foot Great White Sharks.,https://m.media-amazon.com/images/M/MV5BMTYzNjU4NTc5MV5BMl5BanBnXkFtZTcwNDE0NzAzOA@@._V1_SX300.jpg,Bait Films,R,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}, {'source': 'Rotten Tomatoes', 'value': '47%'}]",20 Sep 2012,True,93 min,Bait,,movie,N/A,"Russell Mulcahy, John Kim, Duncan Kennedy (additional writing by), Justin Monjo (additional writing by), Shayne Armstrong (additional writing by), S.P. Krause (additional writing by)",2012
14,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs",3 wins & 15 nominations.,N/A,USA,Malcolm D. Lee,N/A,"Comedy, Drama",tt2083355,6.7,"14,707",English,59,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",https://m.media-amazon.com/images/M/MV5BMjU0MTI1MDg5Ml5BMl5BanBnXkFtZTgwNzc2MTMzMDE@._V1_SX300.jpg,"Blackmaled, Sean Daniel Company",R,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '71%'}, {'source': 'Metacritic', 'value': '59/100'}]",15 Nov 2013,True,123 min,The Best Man Holiday,,movie,N/A,"Malcolm D. Lee, Malcolm D. Lee (characters)",2013
15,"Mark Wahlberg, Lou Diamond Phillips, Christina Applegate, Avery Brooks",N/A,N/A,USA,Kirk Wong,N/A,"Action, Comedy, Crime, Thriller",tt0120609,6.1,"28,141",English,31,"Socially anxious hitman Melvin Smiley, an expert in his lucrative field, goes on a job and falls in love with his kidnapping victim, turning his world upside down.",https://m.media-amazon.com/images/M/MV5BZjMyMmI3ZWMtZTUyMC00OTVhLTg5YTctYjY2YjcxY2RlYzcwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"TriStar Pictures, Lion Rock Productions",R,"[{'source': 'Internet Movie Database', 'value': '6.1/10'}, {'source': 'Rotten Tomatoes', 'value': '43%'}, {'source': 'Metacritic', 'value': '31/100'}]",24 Apr 1998,True,91 min,The Big Hit,,movie,N/A,Ben Ramsey,1998
16,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford",1 nomination.,N/A,USA,Tamra Davis,N/A,Comedy,tt0112508,6.4,"129,728","English, French, Spanish",16,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Universal Pictures, Robert Simonds Productions",PG-13,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '40%'}, {'source': 'Metacritic', 'value': '16/100'}]",10 Feb 1995,True,89 min,Billy Madison,,movie,N/A,"Tim Herlihy, Adam Sandler",1995
17,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon",2 wins & 2 nominations.,N/A,Canada,Bob Clark,N/A,"Horror, Mystery, Thriller",tt0071222,7.2,"32,374",English,65,"During their Christmas break, a group of sorority girls are stalked by a stranger.",https://m.media-amazon.com/images/M/MV5BMDUxM2IyYzgtMjU1ZS00Mzc4LWIwMmUtYzczMzM5ZWIzNGUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Film Funding Ltd. of Canada, Warner Bros., Famous Players, August Films, Vision IV",R,"[{'source': 'Internet Movie Database', 'value': '7.2/10'}, {'source': 'Rotten Tomatoes', 'value': '71%'}, {'source': 'Metacritic', 'value': '65/100'}]",20 Dec 1974,True,98 min,Black Christmas,,movie,N/A,Roy Moore (screenplay),1974
18,"Wesley Snipes, Kris Kristofferson, Ron Perlman, Leonor Varela",6 wins & 10 nominations.,N/A,"Germany, USA",Guillermo del Toro,N/A,"Action, Fantasy, Horror, Sci-Fi, Thriller",tt0187738,6.7,"197,677","English, Romanian, Czech",52,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",https://m.media-amazon.com/images/M/MV5BOWVjZTIzNDYtNTBlNC00NTJjLTkzOTEtOTE0MjlhYzI2YTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"Amen Ra Films, Imaginary Forces",R,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '57%'}, {'source': 'Metacritic', 'value': '52/100'}]",22 Mar 2002,True,117 min,Blade II,,movie,N/A,"Marv Wolfman (character), Gene Colan (character), David S. Goyer",2002
19,"Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell",1 win & 6 nominations.,N/A,"USA, Germany",Chuck Russell,N/A,"Crime, Drama, Horror, Thriller",tt0163983,5.1,"13,804",English,17,"Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.",https://m.media-amazon.com/images/M/MV5BNWUwMmRiZDktMjMzMy00ZGZhLTlmNDItN2M3Yjc3MGExNzAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Paramount Pictures, BTC Productions KG, Icon Entertainment International",R,"[{'source': 'Internet Movie Database', 'value': '5.1/10'}, {'source': 'Rotten Tomatoes', 'value': '3%'}, {'source': 'Metacritic', 'value': '17/100'}]",11 Aug 2000,True,107 min,Bless the Child,,movie,N/A,"Cathy Cash Spellman (novel), Thomas Rickman (screenplay), Clifford Green (screenplay), Ellen Green (screenplay)",2000
20,"Paul Bates, Brenda Blethyn, Brittany Bristow, Leif Bristow",2 wins & 5 nominations.,N/A,"USA, Canada",LeVar Burton,N/A,"Comedy, Family",tt0309372,5.7,949,English,N/A,A young girl's aunt tells her the tale of a young ice skater and an enchanted reindeer.,https://m.media-amazon.com/images/M/MV5BMjAxOTAyMzA3MV5BMl5BanBnXkFtZTcwMDE3MzEzMQ@@._V1_SX300.jpg,Holedigger Films Inc.,G,"[{'source': 'Internet Movie Database', 'value': '5.7/10'}, {'source': 'Rotten Tomatoes', 'value': '67%'}]",24 Dec 2003,True,93 min,Blizzard,,movie,N/A,"Agnes Bristow (story), Leif Bristow (story), Murray McRae",2003
21,"Walter Levine, Dan Aykroyd, Tom Davis, Frank Oz",4 nominations.,N/A,USA,John Landis,N/A,"Action, Comedy, Crime, Music, Musical",tt0118747,4.9,"31,243","English, Russian",N/A,"Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""",https://m.media-amazon.com/images/M/MV5BMGUyODE5ODAtZTIzNy00NDg4LTlhOTQtMTQ0MzU0MTdmZDFmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'source': 'Internet Movie Database', 'value': '4.9/10'}, {'source': 'Rotten Tomatoes', 'value': '46%'}]",06 Feb 1998,True,123 min,Blues Brothers 2000,,movie,N/A,"Dan Aykroyd (film The Blues Brothers), John Landis (film The Blues Brothers), Dan Aykroyd, John Landis",1998
22,"Rahul Khanna, Lisa Ray, Moushumi Chatterjee, Dina Pathak",3 wins & 8 nominations.,N/A,Canada,Deepa Mehta,N/A,"Romance, Comedy, Drama, Musical",tt0303785,5.9,"2,431","English, Hindi, Spanish",35,"A wealthy East Indian man gives an apparently non-East Indian woman a crash course in his culture, so he can marry her with his family's approval.",https://m.media-amazon.com/images/M/MV5BNWFjMTBhOGEtYTEzZi00MGY3LWFmNWYtZjhjM2ZiYWQ5MWY3XkEyXkFqcGdeQXVyNTM0NTU5Mg@@._V1_SX300.jpg,Bollywood/Hollywood Productions,PG-13,"[{'source': 'Internet Movie Database', 'value': '5.9/10'}, {'source': 'Rotten Tomatoes', 'value': '41%'}, {'source': 'Metacritic', 'value': '35/100'}]",25 Oct 2002,True,105 min,Bollywood/Hollywood,,movie,N/A,Deepa Mehta,2002
23,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco",N/A,N/A,"USA, Canada",Troy Duffy,N/A,"Action, Crime, Thriller",tt0144117,7.8,"225,733","English, Spanish, Papiamento, Russian, Latin",44,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,https://m.media-amazon.com/images/M/MV5BYzVmMTdjOTYtOTJkYS00ZTg2LWExNTgtNzA1N2Y0MDgwYWFhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Chris Brinker Productions, B.D.S. Productions Inc, Franchise Pictures, The Lloyd Segan Company, Fried Films, Brood Syndicate",R,"[{'source': 'Internet Movie Database', 'value': '7.8/10'}, {'source': 'Rotten Tomatoes', 'value': '28%'}, {'source': 'Metacritic', 'value': '44/100'}]",21 Jan 2000,True,108 min,The Boondock Saints,,movie,N/A,Troy Duffy,1999
24,"Jamie Foxx, Tommy Davidson, Amy Monique Waddell, Wiley Moore",N/A,N/A,USA,Jeff Pollack,N/A,"Comedy, Romance",tt0118750,5.4,"8,195",English,54,Two friends who have gone too long without sex set out to get some.,https://m.media-amazon.com/images/M/MV5BMTk2NTgwODY2M15BMl5BanBnXkFtZTYwNDk4OTE5._V1_SX300.jpg,Columbia Pictures Corporation,R,"[{'source': 'Internet Movie Database', 'value': '5.4/10'}, {'source': 'Rotten Tomatoes', 'value': '25%'}, {'source': 'Metacritic', 'value': '54/100'}]",26 Feb 1997,True,79 min,Booty Call,,movie,N/A,"Takashi Bufford, J. Stanford Parker",1997
25,"Michael Moore, Salvador Allende, Mike Bradley, Arthur A. Busch",Won 1 Oscar. Another 38 wins & 13 nominations.,N/A,"USA, Canada, Germany",Michael Moore,N/A,"Documentary, Crime, Drama",tt0310793,7.9,"139,091",English,72,Filmmaker Michael Moore explores the roots of America's predilection for gun violence.,https://m.media-amazon.com/images/M/MV5BOWY2OWM1ODEtNDU5OS00MjMwLTliYzItZWZlOTEyYmQ2Njg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Dog Eat Dog Films, United Broadcasting Inc., Salter Street Films International",R,"[{'source': 'Internet Movie Database', 'value': '7.9/10'}, {'source': 'Rotten Tomatoes', 'value': '95%'}, {'source': 'Metacritic', 'value': '72/100'}]",15 Nov 2002,True,120 min,Bowling for Columbine,,movie,N/A,Michael Moore,2002
26,"Chris Cooper, Ryan Phillippe, Laura Linney, Caroline Dhavernas",1 win & 3 nominations.,N/A,USA,Billy Ray,N/A,"Biography, Crime, Drama, History, Thriller",tt0401997,7.0,"57,247","English, Russian, Arabic, Latin",74,"FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union.",https://m.media-amazon.com/images/M/MV5BMTM0NDI4MTEtMGRiZi00MzdlLWFkZTAtNTYzNTU3YzcxODVjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"Universal Pictures, Outlaw Productions, Sidney Kimmel Entertainment",PG-13,"[{'source': 'Internet Movie Database', 'value': '7.0/10'}, {'source': 'Rotten Tomatoes', 'value': '84%'}, {'source': 'Metacritic', 'value': '74/100'}]",16 Feb 2007,True,110 min,Breach,,movie,N/A,"Adam Mazer (screenplay), William L. Rotko (screenplay), Billy Ray (screenplay), Adam Mazer (story), William L. Rotko (story)",2007
27,"Tom Berenger, Busta Rhymes, Armand Assante, Musetta Vander",N/A,N/A,USA,Jeff Celentano,N/A,"Action, Crime, Drama, Thriller",tt0965375,4.8,639,English,24,"""Breaking Point"" is a dramatic tale of corruption and self-realization, in which one man has to overcome a deep-seated conspiracy and his own lingering past in order to gain the redemption ...",https://m.media-amazon.com/images/M/MV5BMTQ2NDUxNjkzM15BMl5BanBnXkFtZTcwNDUwOTIxMw@@._V1_SX300.jpg,Evolving Productions,R,"[{'source': 'Internet Movie Database', 'value': '4.8/10'}, {'source': 'Rotten Tomatoes', 'value': '0%'}, {'source': 'Metacritic', 'value': '24/100'}]",02 Dec 2009,True,93 min,Breaking Point,,movie,N/A,Vincent Campanella (screenplay),2009
28,"Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile",5 wins & 7 nominations.,N/A,"USA, Canada",Ronny Yu,N/A,"Comedy, Horror",tt0144120,5.4,"51,796",English,48,"Chucky, the doll possessed by a serial killer, discovers the perfect mate to kill and revive into the body of another doll.",https://m.media-amazon.com/images/M/MV5BZTcxZDE5Y2MtODNmOC00YjQ0LTk3YzQtZWU1OTU2ZTgwNDVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,"[{'source': 'Internet Movie Database', 'value': '5.4/10'}, {'source': 'Rotten Tomatoes', 'value': '46%'}, {'source': 'Metacritic', 'value': '48/100'}]",16 Oct 1998,True,89 min,Bride of Chucky,,movie,N/A,"Don Mancini (characters), Don Mancini",1998
29,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",Won 3 Oscars. Another 139 wins & 131 nominations.,N/A,"USA, Canada",Ang Lee,N/A,"Drama, Romance",tt0388795,7.7,"318,731","English, Spanish",87,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",https://m.media-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_SX300.jpg,"Paramount Pictures, Focus Features",R,"[{'source': 'Internet Movie Database', 'value': '7.7/10'}, {'source': 'Rotten Tomatoes', 'value': '87%'}, {'source': 'Metacritic', 'value': '87/100'}]",13 Jan 2006,True,134 min,Brokeback Mountain,,movie,N/A,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)",2005
30,"Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden",1 nomination.,N/A,"USA, Canada",Paul Hunter,N/A,"Action, Comedy, Fantasy, Romance",tt0245803,5.5,"47,390","English, Tibetan, Punjabi, German",40,"Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid who he can teach to protect a scroll.",https://m.media-amazon.com/images/M/MV5BMTEwODkxNzE4NzVeQTJeQWpwZ15BbWU3MDY5NDYwMzQ@._V1_SX300.jpg,"Lakeshore Entertainment, Mosaic Media Group",PG-13,"[{'source': 'Internet Movie Database', 'value': '5.5/10'}, {'source': 'Rotten Tomatoes', 'value': '23%'}, {'source': 'Metacritic', 'value': '40/100'}]",16 Apr 2003,True,104 min,Bulletproof Monk,,movie,N/A,"Ethan Reiff, Cyrus Voris",2003
31,"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington",Nominated for 1 Golden Globe. Another 5 wins & 7 nominations.,N/A,USA,Daniel Barnz,N/A,Drama,tt3442006,6.4,"35,053","English, Spanish",49,"The acerbic, hilarious Claire Bennett becomes fascinated by the suicide of a woman in her chronic pain support group. As she uncovers the details of Nina's suicide and develops a poignant relationship with Nina's husband, she also grapples with her own, very raw personal tragedy.",https://m.media-amazon.com/images/M/MV5BMmE2ZTQ5NTUtMzM2NS00YTIxLWEyMDQtMjBiMGNmODgwN2U5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"Cinelou Films, We&#39;re Not Brothers, Echo Films",R,"[{'source': 'Internet Movie Database', 'value': '6.4/10'}, {'source': 'Rotten Tomatoes', 'value': '48%'}, {'source': 'Metacritic', 'value': '49/100'}]",23 Jan 2015,True,102 min,Cake,,movie,N/A,Patrick Tobin (screenplay),2014
32,"John Candy, Alan Alda, Rhea Perlman, Kevin Pollak",N/A,N/A,"USA, Canada",Michael Moore,N/A,Comedy,tt0109370,6.0,"15,898",English,N/A,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",https://m.media-amazon.com/images/M/MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@._V1_SX300.jpg,"Propaganda Films, Dog Eat Dog Films, PolyGram Filmed Entertainment, Gramercy Pictures",PG,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}, {'source': 'Rotten Tomatoes', 'value': '14%'}]",22 Sep 1995,True,91 min,Canadian Bacon,,movie,N/A,Michael Moore,1995
33,"Demi Lovato, Joe Jonas, Meaghan Martin, Maria Canals-Barrera",2 wins & 7 nominations.,N/A,USA,Matthew Diamond,N/A,"Comedy, Family, Music, Musical, Romance",tt1055366,5.2,"29,869","English, Portuguese",N/A,"At a music camp for gifted teens, a popular teen idol overhears a girl singing and sets out to find who the talented voice belongs to. What he doesn't know is that the girl is actually a camp kitchen worker with a fear of being heard.",https://m.media-amazon.com/images/M/MV5BZGMwMDdjYWEtZTk2NC00YmUyLTgxMmYtZDEwNTE2NDljNThlXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,Disney Channel,TV-G,"[{'source': 'Internet Movie Database', 'value': '5.2/10'}, {'source': 'Rotten Tomatoes', 'value': '45%'}]",20 Jun 2008,True,94 min,Camp Rock,,movie,N/A,"Karin Gist, Regina Y. Hicks, Julie Brown, Paul Brown",2008
